my_0,my_1,my_2,my_3,my_4,my_5,my_6,my_7,op_0,op_1,op_2,op_3,op_4,op_5,op_6,op_7,result,my_crowns,op_crowns,my_lev_avg,op_lev_avg,battle_time
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000032,26000049,26000050,26000055,26000058,26000064,28000001,28000015,1,3,1,25.5,24.75,20260329T150353.000Z
26000010,26000021,26000031,26000062,26000102,27000000,28000007,28000011,26000006,26000010,26000014,26000032,26000038,27000004,28000015,28000017,-1,0,1,26.125,26.0,20260325T185214.000Z
26000013,26000025,26000031,26000074,27000006,27000013,28000009,28000017,26000025,26000040,26000058,26000065,26000084,27000003,28000004,28000011,0,0,0,25.875,24.375,20260329T162737.000Z
26000010,26000038,27000001,27000010,28000009,28000010,28000015,28000025,26000004,26000036,26000042,26000046,26000050,26000062,28000000,28000008,1,1,0,25.0,23.875,20260329T003101.000Z
26000020,26000027,26000050,26000052,26000059,26000062,28000001,28000002,26000006,26000015,26000034,26000035,26000037,28000005,28000012,28000015,-1,0,1,24.625,23.25,20260329T133757.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000002,26000020,26000049,27000001,27000010,28000009,28000010,28000015,-1,0,1,25.375,25.625,20260328T062754.000Z
26000004,26000027,26000036,26000042,26000050,26000062,28000000,28000008,26000002,26000050,26000051,26000055,27000010,28000000,28000008,28000025,1,1,0,24.25,24.5,20260327T202301.000Z
26000012,26000040,26000058,26000069,27000003,27000013,28000000,28000011,26000000,26000010,26000023,27000006,27000008,28000003,28000015,28000017,1,1,0,24.125,26.5,20260329T165228.000Z
26000004,26000036,26000042,26000046,26000050,26000062,28000000,28000008,26000004,26000012,26000036,26000041,26000049,26000069,28000000,28000001,1,1,0,23.875,26.0,20260328T203710.000Z
26000000,26000006,26000032,26000049,26000055,28000001,28000008,28000025,26000004,26000036,26000042,26000046,26000050,26000062,28000000,28000008,-1,1,2,25.375,23.875,20260329T104916.000Z
26000017,26000020,26000027,26000036,26000050,26000083,28000015,28000026,26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,-1,0,1,24.0,27.5,20260327T030439.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000003,26000014,26000025,26000034,26000048,28000001,28000010,28000017,1,1,0,25.5,25.25,20260329T161729.000Z
26000003,26000012,26000018,26000027,26000033,26000049,28000001,28000002,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,1,2,1,25.625,25.5,20260329T124804.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000006,26000014,26000035,26000038,26000049,27000012,28000015,28000017,-1,1,2,26.5,26.875,20260329T171705.000Z
26000000,26000001,26000010,26000030,27000006,27000008,28000000,28000011,26000020,26000027,26000050,26000052,26000059,26000062,28000001,28000015,1,1,0,27.875,25.25,20260328T184940.000Z
26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,26000001,26000010,26000011,26000015,26000021,26000055,28000001,28000008,1,1,0,27.875,27.125,20260224T154634.000Z
