Actual_Result,Predicted_Label,Win_Probability,Is_Correct,Deck_A_Predicting,Deck_B_Opponent,Confidence
0.0,0,0.0002,True,"[3, 7, 27, 37, 61, 98, 99, 108]","[2, 5, 53, 54, 56, 87, 98, 113]",0.9996
0.0,0,0.0002,True,"[4, 36, 42, 46, 50, 62, 98, 106]","[2, 11, 30, 40, 58, 85, 101, 102]",0.9996
0.0,0,0.0002,True,"[9, 13, 35, 43, 48, 76, 99, 106]","[26, 27, 52, 54, 70, 98, 102, 115]",0.9996
0.0,0,0.0002,True,"[0, 10, 31, 78, 85, 97, 107, 109]","[10, 32, 62, 78, 82, 85, 109, 110]",0.9996
0.0,1,0.9997,False,"[24, 50, 61, 74, 76, 98, 100, 113]","[0, 10, 31, 62, 85, 97, 107, 115]",0.9994
0.0,1,0.9997,False,"[6, 32, 37, 38, 39, 96, 98, 106]","[2, 6, 35, 39, 95, 103, 113, 115]",0.9994
1.0,1,0.9997,True,"[10, 32, 44, 49, 61, 98, 106, 113]","[6, 25, 35, 42, 55, 64, 69, 99]",0.9994
0.0,0,0.0003,True,"[14, 25, 46, 54, 55, 95, 106, 113]","[10, 11, 30, 86, 95, 107, 108, 113]",0.9994
0.0,0,0.0003,True,"[11, 26, 30, 41, 85, 101, 102, 109]","[2, 17, 50, 59, 74, 86, 105, 113]",0.9994
0.0,0,0.0003,True,"[10, 31, 32, 49, 58, 62, 89, 109]","[2, 15, 27, 29, 32, 37, 98, 106]",0.9994
0.0,0,0.0003,True,"[10, 31, 32, 49, 58, 62, 89, 109]","[2, 15, 27, 29, 32, 37, 98, 106]",0.9994
0.0,1,0.9997,False,"[8, 15, 25, 29, 37, 39, 98, 106]","[8, 9, 27, 39, 48, 63, 99, 105]",0.9994
1.0,1,0.9997,True,"[2, 11, 30, 40, 58, 85, 101, 102]","[4, 36, 42, 46, 50, 62, 98, 106]",0.9994
0.0,1,0.9997,False,"[2, 20, 49, 86, 95, 107, 108, 113]","[10, 63, 66, 67, 92, 104, 110, 114]",0.9994
